m_phi,Delta_phi_ini,sector
0.37059999999999993,1.4000000000000001,B
0.37059999999999993,1.4020000000000001,B
0.37059999999999993,1.4040000000000001,B
0.37059999999999993,1.4060000000000001,B
0.37059999999999993,1.4080000000000001,B
0.37059999999999993,1.4100000000000001,B
0.37059999999999993,1.4120000000000001,B
0.37059999999999993,1.4140000000000001,B
0.37059999999999993,1.4160000000000001,B
0.37059999999999993,1.4180000000000001,B
0.37059999999999993,1.4200000000000002,B
0.37059999999999993,1.4220000000000002,B
0.37059999999999993,1.4240000000000002,B
0.37059999999999993,1.4260000000000002,B
0.37059999999999993,1.4280000000000002,B
0.37059999999999993,1.4300000000000002,B
0.37059999999999993,1.4320000000000002,B
0.37059999999999993,1.4340000000000002,B
0.37059999999999993,1.4360000000000002,B
0.37059999999999993,1.4380000000000002,B
0.37059999999999993,1.4400000000000002,B
0.37059999999999993,1.4420000000000002,B
0.37059999999999993,1.4440000000000002,B
0.37059999999999993,1.4460000000000002,B
0.37059999999999993,1.4480000000000002,B
0.37059999999999993,1.4500000000000002,B
0.37059999999999993,1.4520000000000002,B
0.37059999999999993,1.4540000000000002,B
0.37059999999999993,1.4560000000000002,B
0.37059999999999993,1.4580000000000002,B
0.37059999999999993,1.4600000000000002,B
0.37059999999999993,1.4620000000000002,B
0.37059999999999993,1.4640000000000002,B
0.37059999999999993,1.4660000000000002,B
0.37059999999999993,1.4680000000000002,B
0.37059999999999993,1.4700000000000002,B
0.37059999999999993,1.4720000000000002,B
0.37059999999999993,1.4740000000000002,B
0.37059999999999993,1.4760000000000002,B
0.37059999999999993,1.4780000000000002,B
0.37059999999999993,1.4800000000000002,B
0.37059999999999993,1.4820000000000002,B
0.37059999999999993,1.4840000000000002,B
0.37059999999999993,1.4860000000000002,B
0.37059999999999993,1.4880000000000002,B
0.37059999999999993,1.4900000000000002,B
0.37059999999999993,1.4920000000000002,B
0.37059999999999993,1.4940000000000002,B
0.37059999999999993,1.4960000000000002,B
0.37059999999999993,1.4980000000000002,B
0.37059999999999993,1.5000000000000002,B
0.37059999999999993,1.5020000000000002,B
0.37059999999999993,1.5040000000000002,B
0.37059999999999993,1.5060000000000002,B
0.37059999999999993,1.5080000000000002,B
0.37059999999999993,1.5100000000000002,B
0.37059999999999993,1.5120000000000002,B
0.37059999999999993,1.5140000000000002,B
0.37059999999999993,1.5160000000000002,B
0.37059999999999993,1.5180000000000002,B
0.37059999999999993,1.5200000000000002,B
0.37059999999999993,1.5220000000000002,B
0.37059999999999993,1.5240000000000002,B
0.37059999999999993,1.5260000000000002,B
0.37059999999999993,1.5280000000000002,B
0.37059999999999993,1.5300000000000002,B
0.37059999999999993,1.5320000000000003,B
0.37059999999999993,1.5340000000000003,B
0.37059999999999993,1.5360000000000003,B
0.37059999999999993,1.5380000000000003,B
0.37059999999999993,1.5400000000000003,B
0.37059999999999993,1.5420000000000003,B
0.37059999999999993,1.5440000000000003,B
0.37059999999999993,1.5460000000000003,B
0.37059999999999993,1.5480000000000003,B
0.37059999999999993,1.5500000000000003,B
0.37059999999999993,1.5520000000000003,B
0.37059999999999993,1.5540000000000003,B
0.37059999999999993,1.5560000000000003,B
0.37059999999999993,1.5580000000000003,B
0.37059999999999993,1.5600000000000003,B
0.37059999999999993,1.5620000000000003,B
0.37059999999999993,1.5640000000000003,B
0.37059999999999993,1.5660000000000003,B
0.37059999999999993,1.5680000000000003,B
0.37059999999999993,1.5700000000000003,B
0.37059999999999993,1.5720000000000003,B
0.37059999999999993,1.5740000000000003,B
0.37059999999999993,1.5760000000000003,B
0.37059999999999993,1.5780000000000003,B
0.37059999999999993,1.5800000000000003,B
0.37059999999999993,1.5820000000000003,B
0.37059999999999993,1.5840000000000003,B
0.37059999999999993,1.5860000000000003,B
0.37059999999999993,1.5880000000000003,B
0.37059999999999993,1.5900000000000003,B
0.37059999999999993,1.5920000000000003,B
0.37059999999999993,1.5940000000000003,B
0.37059999999999993,1.5960000000000003,B
0.37059999999999993,1.5980000000000003,B
0.37059999999999993,1.6000000000000003,B
0.37059999999999993,1.6020000000000003,B
0.37059999999999993,1.6040000000000003,B
0.37059999999999993,1.6060000000000003,B
0.37059999999999993,1.6080000000000003,B
0.37059999999999993,1.6100000000000003,B
